c,p,O,C,c,O,O,c,p,U,c,c,O,O,C,P,O,C,c,U,U,C,P,O,C,O,O,A,c,p,U,c,O,O,A,C,P,O,C,c,O,O,AL,AL,AL,AL,c,U,U,PERL,PERL,PERL,PERL,O,U,U,PERL,PERL,PERL,PERL,O,U,U,PERL,PERL,PERL,PERL,O,U,U
c,c,c,p,O,O,U,c,c,c,p,O,O,U,AL,AL,AL,AL,O,U,U,c,C,C,o,O,A,U,c,c,c,U,O,A,U,c,c,c,p,O,O,U,AL,AL,AL,AL,O,U,U,AL,AL,AL,AL,O,U,U,c,c,c,c,O,U,U,c,c,c,c,O,U,U
o,a,O,A,p,o,o,a,P,O,A,o,a,a,A,a,O,A,p,O,O,A,P,O,A,A,U,U,CL,CL,CL,CL,O,U,U,CL,CL,CL,CL,O,U,U,A,P,O,o,a,P,P,o,P,O,A,A,O,O,A,P,O,A,A,O,O,A,P,O,A,A,O,O
O,a,p,c,a,O,O,O,a,p,c,O,A,O,O,a,p,c,O,P,O,O,a,p,c,a,o,O,a,O,p,c,U,A,U,a,a,o,c,p,O,O,AL,AL,AL,AL,O,U,U,o,O,p,c,a,a,O,O,a,a,c,a,O,O,CL,CL,CL,CL,O,U,U
p,O,a,a,o,p,p,o,O,a,a,p,O,O,a,a,a,a,U,o,o,p,O,a,a,a,U,U,CL,CL,CL,CL,O,U,U,P,O,a,a,a,O,O,p,O,a,a,a,o,o,p,O,a,a,a,O,O,P,O,o,a,o,a,a,p,O,a,a,a,O,O
a,c,o,p,u,P,O,a,c,a,p,U,U,U,CL,CL,CL,CL,O,U,U,c,a,a,p,O,O,O,o,c,a,p,O,O,A,a,a,c,p,o,O,O,c,a,o,p,O,O,A,c,a,a,o,p,O,O,a,a,c,o,p,O,O,a,o,C,p,O,P,O
p,O,c,a,a,O,O,a,a,c,p,O,O,O,O,a,c,p,O,A,a,O,o,c,a,p,O,O,p,O,c,a,a,O,O,o,a,c,p,O,A,P,O,o,c,a,p,O,O,a,a,c,p,O,O,O,AL,AL,AL,AL,O,U,U,CL,CL,CL,CL,U,U,U
a,p,c,O,a,o,o,a,p,c,o,a,u,u,a,p,c,O,a,p,p,o,o,c,o,p,U,U,U,p,c,O,a,u,U,a,p,c,O,a,U,U,AL,AL,AL,AL,O,U,U,AL,AL,AL,AL,O,U,U,AL,AL,AL,AL,O,U,U,O,p,c,O,O,A,A
a,p,C,o,o,a,a,o,a,c,a,p,o,o,a,p,c,O,A,O,O,A,P,O,CL,CL,U,U,U,a,C,A,a,O,O,A,P,C,O,O,A,A,O,A,C,A,P,O,O,A,P,C,A,U,U,U,LPPA,LPPA,LPPA,LPPA,U,U,U,LPPA,LPPA,LPPA,LPPA,O,U,U
p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O,p,O,p,LPPA,O,P,O
O,U,a,a,p,O,O,O,a,p,c,a,u,u,O,U,P,C,a,O,O,O,c,a,a,p,u,u,O,a,a,p,c,O,O,O,a,a,c,p,O,O,AL,AL,AL,o,O,U,U,U,o,o,c,a,P,P,O,o,p,c,a,O,O,O,a,p,c,O,A,A
77,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,U,O,A,A,O,o,U,U,O,A,A,O,O,U,U,O,A,A,O,O,U,77
o,O,AL,O,AL,U,U,p,O,a,O,a,U,U,CL,O,CL,O,CL,U,U,sabb,O,sabb,O,sabb,u,u,sabb,O,sabb,O,sabb,O,O,sabb,O,sabb,O,sabb,O,O,sabb,O,sabb,O,sabb,u,u,sabb,O,sabb,O,sabb,O,O,sabb,O,sabb,O,sabb,O,O,sabb,O,sabb,O,sabb,O,O
O,P,O,p,O,O,O,O,P,O,p,O,O,O,O,P,O,p,O,U,O,O,P,O,U,O,A,A,O,P,O,p,O,O,O,O,P,O,p,O,A,p,O,P,O,p,O,U,O,O,P,O,p,O,O,O,O,P,O,p,O,O,O,O,P,O,p,O,O,U
a,O,c,O,p,U,U,p,O,c,O,a,P,P,O,O,c,O,p,U,U,p,O,c,O,a,U,U,CL,CL,CL,O,O,U,U,AL,AL,AL,O,O,U,U,AL,AL,AL,O,O,U,U,AL,AL,AL,O,O,U,U,AL,AL,AL,O,O,U,U,AL,AL,AL,O,O,U,U
MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O,MAT,MAT,MAT,O,O,O,O
O,A,O,p,O,O,O,O,O,O,A,P,O,O,O,O,O,p,O,O,P,cs,O,O,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,CS,CS,CS,CS,O,O,O,CS,CS,CS,CS,O,O,O,O,O,O,p,O,O,P,O,O,O,A,P,O,CL
O,O,a,a,O,O,P,O,O,a,a,O,O,P,O,O,a,a,O,O,A,O,O,AL,a,O,O,p,O,O,a,a,O,O,p,O,O,a,a,O,O,a,O,O,a,a,O,O,P,O,O,AL,a,O,O,P,O,O,AL,a,O,O,A,O,O,a,a,O,O,P
O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O
O,a,O,p,O,O,P,O,a,O,p,c,O,CL,O,CL,O,CL,O,O,P,O,a,O,p,c,a,AL,O,AL,O,AL,AL,O,AL,O,AL,O,AL,AL,O,AL,O,AL,O,AL,AL,O,AL,O,AL,O,AL,AL,O,p,O,a,O,p,O,O,P,O,a,O,p,c,O,P
O,O,a,a,O,O,O,O,a,a,O,O,O,O,O,O,A,O,O,A,O,O,O,A,A,O,O,O,O,O,A,A,O,O,O,O,O,A,A,O,U,U,O,O,A,O,O,A,U,O,O,A,A,O,U,U,O,O,A,A,O,U,U,O,O,A,A,O,U,U
U,A,P,O,A,A,O,O,P,U,O,O,O,O,U,O,O,O,A,A,A,O,O,P,O,O,O,O,U,U,P,O,P,P,O,O,O,P,O,O,O,O,A,O,O,O,A,A,A,O,O,P,O,O,O,O,A,O,P,O,P,P,O,O,O,P,O,O,O,O
p,c,c,O,a,O,O,a,o,c,c,a,O,O,a,O,c,a,p,O,O,A,A,P,U,U,U,U,CL,CL,CL,O,O,U,U,LWOP,LWOP,LWOP,O,O,U,U,LWOP,LWOP,CS,p,p,O,O,O,c,c,p,p,o,o,O,a,c,c,p,p,O,p,c,c,o,a,A,A
A,CS,P,U,U,U,U,U,cs,P,O,O,P,P,O,CS,P,O,U,U,U,a,cs,p,O,O,O,O,a,cs,o,O,p,O,O,a,cs,p,O,O,P,O,a,cs,p,O,O,O,O,a,cs,p,O,O,A,A,o,cs,p,O,O,O,O,a,cs,p,O,O,O,O
77,O,A,O,O,O,O,O,O,AL,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,CL,O,O,O,O,O,O,AL,O,O,O,O,O,O,AL,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,77
o,p,U,U,U,A,A,p,p,U,U,U,o,o,p,o,p,U,CL,CL,CL,CL,o,O,O,O,p,P,p,o,o,U,U,P,P,p,o,p,U,U,U,O,p,p,p,U,U,p,p,p,o,p,U,O,P,o,p,p,o,U,U,A,P,AL,AL,AL,AL,O,P,P
o,O,O,O,O,O,O,U,u,U,a,a,A,A,u,O,O,O,O,O,O,u,O,O,O,O,O,O,u,O,O,O,O,O,O,U,o,o,A,A,P,P,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,U,A,A,P,P,U,U
A,O,O,O,O,O,A,O,O,O,O,O,O,O,P,O,O,O,O,O,O,A,O,O,O,O,O,O,A,O,O,O,O,O,P,O,O,O,O,O,O,O,CL,O,O,O,O,O,O,AL,O,O,O,O,O,O,A,O,O,O,O,O,A,O,O,O,O,O,O,O
o,o,o,o,o,o,O,o,O,O,O,o,O,A,O,O,O,O,O,O,O,O,O,O,O,O,o,A,O,O,O,O,O,O,O,O,O,O,O,O,O,A,O,O,O,O,O,O,O,O,O,O,O,O,O,A,O,O,O,O,O,O,O,O,O,O,O,O,O,A
